id,neighbourhood_cleansed,city,latitude,longitude,property_type,accommodates,bathrooms,bedrooms,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,host_is_superhost,has_wifi,has_kitchen,has_parking,has_tv,has_wash,has_washer,has_garden,has_balcony,LSOA11CD,Index of Multiple Deprivation (IMD) Score,median_house_price_2020,minutes_to_town,minutes_to_rail,minutes_to_airport,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
27563570,Ancoats and Clayton,Manchester,53.48437,-2.2344,Entire apartment,16,3.0,4.0,454.0,1,1125,309,48,0,1,1,1,1,1,1,0,0,E01033667,34.751,199275.0,9,17,39,1,0,0,0
38428583,Chorlton,Manchester,53.44348000000001,-2.27704,Private room in house,16,3.0,6.0,240.0,5,1125,359,0,0,1,1,1,1,1,1,1,0,E01005150,26.296999999999997,232500.0,4,37,52,0,0,1,0
40700904,Ancoats and Clayton,Manchester,53.48981,-2.23129,Entire apartment,16,3.0,3.0,393.0,1,1125,221,0,0,1,1,1,1,0,0,0,0,E01033664,26.430999999999997,195500.0,14,10,46,1,0,0,0
35818838,Cheetham,Manchester,53.50083000000001,-2.24273,Private room in apartment,16,3.0,6.0,1183.0,1,1125,364,0,0,1,1,1,1,1,1,0,0,E01005147,49.26,99750.0,14,22,59,0,0,1,0
19871804,Moss Side,Manchester,53.45199,-2.24554,Private room in house,16,2.0,4.0,164.0,3,1125,365,0,0,1,1,1,1,1,1,1,0,E01005240,49.761,150000.0,19,30,57,0,0,1,0
28676927,Withington,Manchester,53.43719,-2.2187099999999997,Entire house,16,2.0,8.0,236.0,2,1125,0,23,1,1,1,1,1,1,1,0,0,E01005309,26.698,151500.0,10,33,37,1,0,0,0
21912376,Didsbury West,Manchester,53.428509999999996,-2.23925,Entire house,16,3.0,8.0,322.0,2,1125,323,71,0,1,1,1,1,1,1,1,1,E01005275,17.22,390000.0,7,39,46,1,0,0,0
29226420,Old Moat,Manchester,53.43605,-2.22745,Entire house,16,2.0,7.0,233.0,2,1000,362,22,1,1,1,1,1,1,1,1,1,E01005273,31.094,264000.0,5,33,40,1,0,0,0
25352248,City Centre,Manchester,53.48379,-2.23941,Entire apartment,16,2.0,3.0,477.0,1,7,359,23,0,1,1,0,1,1,1,0,1,E01033658,23.061999999999998,242500.0,10,14,42,1,0,0,0
8878349,City Centre,Manchester,53.48138499589245,-2.2321919462636166,Apartment,16,1.0,2.0,1251.0,1,1125,306,3,0,0,0,0,1,0,0,0,0,E01033653,29.76,215000.0,7,10,33,1,0,0,0
